	(39117)
whole	(37)
joined	(4)
rakers	(1)
long	(159)
staff	(22)
sixpenny	(1)
strikers	(1)
mustachio	(1)
purple	(7)
hued	(1)
malt	(2)
worms	(8)
tranquillity	(1)
burgomasters	(1)
oneyers	(1)
strike	(38)
zounds	(3)
continually	(2)
commonwealth	(15)
prey	(17)
boots	(14)
she	(226)
water	(34)
She	(74)
justice	(40)
liquored	(1)
cocksure	(1)
receipt	(3)
fern	(2)
seed	(7)
invisible	(4)
beholding	(12)
walking	(6)
Give	(79)
share	(9)
purchase	(13)
Go	(122)
homo	(1)
common	(41)
Bid	(17)
muddy	(4)
knave	(35)
highway	(3)
shelter	(7)
removed	(11)
frets	(1)
gummed	(1)
velvet	(3)
kidneyed	(1)
rascal	(27)
brawling	(2)
walked	(2)
top	(16)
hill	(17)
seek	(54)
accursed	(12)
tied	(9)
travel	(8)
squier	(1)
scape	(8)
killing	(7)
forsworn	(13)
hourly	(5)
bewitched	(1)
given	(55)
medicines	(2)
else	(95)
ere	(97)
rogues	(4)
veriest	(1)
varlet	(7)
chewed	(1)
tooth	(9)
Eight	(4)
yards	(2)
threescore	(2)
miles	(6)
stony	(3)
hearted	(18)
villains	(10)
whistle	(3)
Whew	(1)
guts	(7)
list	(10)
travellers	(1)
levers	(1)
flesh	(35)
exchequer	(5)
colt	(2)
liest	(12)
colted	(1)
uncolted	(1)
help	(80)
thyself	(63)
garters	(1)
ta	(29)
en	(41)
peach	(2)
ballads	(1)
sung	(8)
filthy	(5)
tunes	(3)
forward	(37)
hate	(45)
setter	(4)
voice	(38)
Case	(1)
case	(31)
money	(34)
coming	(33)
Sirs	(6)
front	(9)
narrow	(7)
lane	(2)
lower	(12)
light	(54)
Some	(49)
eight	(11)
coward	(37)
Paunch	(1)
Gaunt	(32)
grandfather	(13)
behind	(31)
hedge	(4)
needest	(1)
fast	(36)
disguises	(1)
masters	(21)
happy	(81)
dole	(2)
boy	(101)
legs	(23)
Thieves	(3)
Jesus	(4)
bless	(33)
